               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080051,            0.027659,            0.051441,             0.30679,             0.47706,             0.33296,             0.13364,            0.048964,           0.0099022,            0.038824,            0.070227,           0.0033081,           0.0033081
                   1,            0.050374,            0.019587,            0.037996,             0.44701,             0.68122,             0.55258,             0.32969,            0.044752,           0.0077636,            0.026268,            0.040096,           0.0065099,           0.0065099
                   2,            0.049698,            0.017452,            0.029105,             0.46511,             0.66927,             0.58466,             0.26068,            0.043513,           0.0082906,            0.019969,           0.0098323,           0.0095797,           0.0095797
                   3,            0.046604,             0.01797,            0.026366,             0.61492,             0.63839,             0.65064,              0.3962,            0.039799,           0.0092067,            0.024673,            0.009406,            0.009406,            0.009406
                   4,            0.043625,            0.018061,            0.024046,             0.68028,             0.68526,             0.73637,             0.40107,            0.043192,            0.009386,            0.017906,            0.009406,            0.009406,            0.009406
                   5,             0.04012,            0.017654,            0.022489,              0.7133,             0.70182,             0.75118,             0.46532,            0.038198,           0.0090649,            0.021147,            0.009208,            0.009208,            0.009208
                   6,            0.039727,            0.017619,            0.022269,             0.74622,             0.72176,             0.77574,              0.4851,            0.034815,           0.0090018,            0.015249,             0.00901,             0.00901,             0.00901
                   7,            0.037317,            0.017235,            0.020333,             0.72883,             0.65483,              0.7569,             0.47698,            0.033131,           0.0087942,            0.017584,            0.008812,            0.008812,            0.008812
                   8,            0.036767,            0.017136,            0.020344,             0.68478,             0.60512,             0.68947,             0.38858,            0.040196,           0.0089613,            0.027675,            0.008614,            0.008614,            0.008614
                   9,            0.036949,            0.017193,            0.018915,              0.8364,             0.81899,             0.88473,              0.6253,            0.029822,           0.0078337,            0.013182,            0.008416,            0.008416,            0.008416
                  10,             0.03532,            0.016256,            0.016693,             0.83674,             0.79942,             0.87316,                 0.6,            0.031273,             0.00798,            0.013835,            0.008218,            0.008218,            0.008218
                  11,            0.034141,            0.015891,            0.016835,              0.8455,             0.78401,             0.87337,             0.63397,            0.028722,           0.0081379,            0.012462,             0.00802,             0.00802,             0.00802
                  12,            0.034288,              0.0165,            0.018064,             0.79396,             0.76931,             0.83347,             0.59524,            0.030187,           0.0078197,            0.013695,            0.007822,            0.007822,            0.007822
                  13,             0.03333,            0.016207,            0.015677,             0.78805,             0.83073,             0.87045,             0.61427,            0.031163,           0.0079102,            0.014214,            0.007624,            0.007624,            0.007624
                  14,             0.03274,            0.016178,             0.01635,             0.83432,             0.85463,             0.89952,             0.65792,            0.028897,           0.0072394,            0.011412,            0.007426,            0.007426,            0.007426
                  15,            0.031836,            0.015658,            0.014746,             0.87751,             0.82761,               0.908,             0.65383,            0.028746,           0.0074923,           0.0098401,            0.007228,            0.007228,            0.007228
                  16,            0.031335,            0.015436,            0.014764,             0.88328,             0.85729,              0.9264,             0.66404,            0.028741,           0.0071696,            0.010104,             0.00703,             0.00703,             0.00703
                  17,            0.030193,            0.015012,            0.013141,             0.89704,             0.84439,             0.92194,             0.65228,            0.027119,           0.0070772,            0.011576,            0.006832,            0.006832,            0.006832
                  18,             0.03054,            0.015387,            0.013568,             0.90249,             0.86104,             0.92859,             0.69363,            0.026799,           0.0071029,            0.010027,            0.006634,            0.006634,            0.006634
                  19,            0.030127,            0.015023,            0.013455,             0.83877,             0.77866,             0.88598,             0.66495,            0.026916,           0.0072416,            0.013251,            0.006436,            0.006436,            0.006436
                  20,            0.028798,            0.014902,            0.013384,             0.89363,             0.87165,             0.93546,             0.73716,            0.025612,           0.0067281,           0.0087168,            0.006238,            0.006238,            0.006238
