               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097061,             0.07707,            0.027233,              0.7092,             0.11521,             0.11795,            0.040937,            0.066079,            0.066986,            0.026169,           0.0033075,           0.0033075,            0.070233
                   1,            0.073519,            0.069743,            0.024509,             0.88345,             0.14956,             0.14826,            0.051226,            0.066704,            0.063155,            0.022841,           0.0065093,           0.0065093,            0.040101
                   2,            0.064887,            0.070597,            0.023475,             0.86812,             0.13463,              0.1542,             0.05659,            0.064827,             0.06443,             0.02176,           0.0095792,           0.0095792,           0.0098376
                   3,            0.056922,             0.06901,            0.022223,             0.92984,             0.18414,             0.23774,              0.1116,            0.049168,            0.060967,            0.020265,            0.009406,            0.009406,            0.009406
                   4,            0.049052,            0.067109,            0.021252,             0.54696,             0.28365,             0.24957,             0.12388,            0.045267,            0.061344,            0.019949,            0.009406,            0.009406,            0.009406
                   5,            0.045026,            0.067061,            0.020402,             0.68984,             0.37291,             0.35098,             0.20485,            0.036666,            0.059006,            0.018385,            0.009208,            0.009208,            0.009208
                   6,            0.043023,            0.065072,            0.019559,              0.6629,             0.39639,             0.38861,             0.21993,             0.03805,            0.057551,            0.017778,             0.00901,             0.00901,             0.00901
                   7,            0.040262,            0.064294,             0.01888,             0.72593,             0.41288,              0.3981,             0.24231,            0.035048,            0.055794,            0.016984,            0.008812,            0.008812,            0.008812
                   8,            0.039362,            0.064048,            0.018342,             0.76839,             0.42028,             0.42429,             0.26887,            0.032199,            0.056596,            0.016229,            0.008614,            0.008614,            0.008614
                   9,            0.038475,            0.061653,            0.018092,             0.78492,             0.43582,             0.46116,             0.29628,            0.032587,            0.055948,            0.015943,            0.008416,            0.008416,            0.008416
                  10,            0.037466,            0.060269,            0.017456,             0.80214,             0.42456,             0.46669,             0.27965,            0.031047,            0.054734,            0.015348,            0.008218,            0.008218,            0.008218
                  11,            0.036329,            0.061638,            0.017041,             0.77641,             0.46615,             0.47159,             0.28933,             0.03495,            0.055739,            0.015498,             0.00802,             0.00802,             0.00802
                  12,             0.03562,            0.060708,              0.0168,             0.79452,             0.41968,             0.46156,             0.31513,            0.030182,            0.054295,            0.014555,            0.007822,            0.007822,            0.007822
                  13,            0.035339,            0.059111,            0.016352,             0.82976,              0.4258,             0.48886,             0.31966,            0.030421,             0.05397,            0.014495,            0.007624,            0.007624,            0.007624
                  14,            0.035163,            0.058687,            0.016134,             0.82322,             0.44787,              0.5007,             0.32918,            0.030388,            0.054895,             0.01438,            0.007426,            0.007426,            0.007426
                  15,            0.034342,            0.059545,            0.015899,             0.84623,              0.4043,             0.47794,             0.32982,            0.029334,            0.053969,            0.014034,            0.007228,            0.007228,            0.007228
                  16,            0.034188,            0.060445,            0.015756,             0.83357,             0.43139,             0.50757,             0.34473,            0.029285,            0.052922,            0.013877,             0.00703,             0.00703,             0.00703
                  17,            0.033583,            0.059513,            0.015408,             0.84549,             0.44404,             0.51431,             0.35567,             0.02949,            0.052885,            0.013698,            0.006832,            0.006832,            0.006832
                  18,            0.033373,            0.059356,            0.015358,             0.86756,             0.44144,             0.52665,             0.36806,            0.029592,            0.053337,            0.013526,            0.006634,            0.006634,            0.006634
                  19,            0.033391,            0.059406,            0.015107,             0.88244,             0.44566,             0.55474,             0.38578,            0.028906,            0.053502,            0.013232,            0.006436,            0.006436,            0.006436
                  20,             0.03302,            0.059458,            0.014821,             0.88769,             0.44954,             0.57173,             0.40891,             0.02806,            0.053154,            0.012909,            0.006238,            0.006238,            0.006238
                  21,            0.032334,            0.058362,            0.014589,             0.89922,             0.46009,              0.5915,             0.41947,            0.028111,            0.052748,            0.012765,             0.00604,             0.00604,             0.00604
                  22,            0.031737,            0.057184,            0.014229,             0.91343,             0.46301,             0.60787,             0.42576,             0.02805,            0.053219,            0.012528,            0.005842,            0.005842,            0.005842
                  23,            0.031516,            0.056684,            0.014002,             0.86827,             0.52843,             0.63527,             0.45628,            0.027794,            0.052503,            0.012457,            0.005644,            0.005644,            0.005644
                  24,            0.031377,             0.05726,            0.013863,             0.88546,             0.54574,             0.66245,             0.47102,            0.027375,             0.05239,            0.012189,            0.005446,            0.005446,            0.005446
                  25,            0.031619,            0.057718,            0.013887,             0.85991,             0.55229,             0.67705,             0.47354,            0.027502,            0.051985,             0.01221,            0.005248,            0.005248,            0.005248
                  26,            0.031109,            0.056345,            0.013524,              0.8883,              0.5635,              0.6842,             0.48506,            0.027236,            0.052388,            0.011969,             0.00505,             0.00505,             0.00505
                  27,            0.030575,            0.056736,            0.013409,              0.8223,             0.61573,              0.6732,             0.49029,            0.027123,            0.052187,            0.011955,            0.004852,            0.004852,            0.004852
                  28,            0.030895,            0.057769,            0.013243,             0.85303,              0.6274,             0.68818,             0.49157,            0.027322,            0.052075,            0.011853,            0.004654,            0.004654,            0.004654
                  29,            0.030454,            0.055887,            0.013169,              0.8764,             0.61758,             0.69958,             0.50366,            0.027144,             0.05231,             0.01171,            0.004456,            0.004456,            0.004456
                  30,            0.030586,            0.056251,             0.01319,             0.89695,             0.59651,             0.69362,             0.49695,            0.027157,            0.052376,            0.011623,            0.004258,            0.004258,            0.004258
                  31,            0.030021,             0.05473,            0.012895,             0.88557,             0.59161,             0.69162,             0.50414,            0.027025,            0.051945,            0.011626,             0.00406,             0.00406,             0.00406
                  32,            0.029492,             0.05601,            0.012857,             0.87851,             0.61028,             0.69715,              0.5053,            0.026996,            0.051926,             0.01151,            0.003862,            0.003862,            0.003862
                  33,              0.0296,             0.05596,            0.012878,              0.8883,             0.59703,             0.70324,             0.50941,            0.026957,            0.051907,            0.011469,            0.003664,            0.003664,            0.003664
                  34,            0.029035,            0.054993,            0.012512,             0.87938,             0.60429,             0.70279,             0.51442,             0.02685,             0.05203,            0.011449,            0.003466,            0.003466,            0.003466
                  35,             0.02893,            0.054809,            0.012235,             0.90978,             0.59681,             0.70517,             0.51296,            0.026543,            0.051837,            0.011243,            0.003268,            0.003268,            0.003268
                  36,            0.028897,            0.053942,            0.012408,             0.87502,             0.59696,             0.69597,             0.50844,            0.026593,            0.051335,            0.011184,             0.00307,             0.00307,             0.00307
                  37,            0.028859,            0.053572,            0.012412,              0.9099,             0.57984,             0.69758,             0.51825,            0.026377,            0.051841,            0.011211,            0.002872,            0.002872,            0.002872
                  38,            0.028144,            0.053872,            0.012088,              0.8997,             0.58815,             0.71314,             0.52176,              0.0266,             0.05198,            0.011076,            0.002674,            0.002674,            0.002674
                  39,            0.028483,            0.053012,            0.012141,             0.88558,             0.60068,             0.72309,             0.52686,            0.026403,             0.05169,            0.011088,            0.002476,            0.002476,            0.002476
                  40,             0.02838,            0.054264,             0.01203,             0.89547,             0.60465,             0.74051,             0.54677,            0.026315,            0.051966,            0.010954,            0.002278,            0.002278,            0.002278
                  41,            0.028181,            0.054127,            0.011959,             0.90174,             0.60598,             0.74161,             0.54908,            0.026201,            0.051247,            0.010841,             0.00208,             0.00208,             0.00208
                  42,            0.028114,            0.054079,            0.011811,             0.90835,             0.59275,             0.75049,              0.5491,            0.026208,            0.051316,            0.010936,            0.001882,            0.001882,            0.001882
                  43,            0.027941,            0.052324,              0.0118,             0.79008,              0.6756,             0.76285,             0.56079,            0.026217,            0.051459,            0.010913,            0.001684,            0.001684,            0.001684
                  44,            0.027823,            0.053003,            0.011694,             0.79578,             0.67956,             0.76518,             0.56422,            0.026088,            0.051548,            0.010772,            0.001486,            0.001486,            0.001486
                  45,            0.027804,            0.053427,             0.01184,             0.80968,             0.67691,             0.76302,             0.56233,            0.026016,            0.051192,            0.010802,            0.001288,            0.001288,            0.001288
                  46,            0.027522,            0.053681,            0.011797,             0.81918,             0.68136,             0.76746,              0.5705,            0.025961,            0.051264,            0.010689,             0.00109,             0.00109,             0.00109
                  47,            0.027741,            0.053919,            0.011524,             0.82323,             0.67822,             0.76556,             0.56724,            0.025942,            0.051002,            0.010657,            0.000892,            0.000892,            0.000892
                  48,            0.027816,            0.053891,            0.011627,             0.82334,             0.68705,             0.76902,             0.57199,            0.025872,             0.05116,            0.010656,            0.000694,            0.000694,            0.000694
                  49,            0.027302,            0.052633,            0.011501,             0.84258,               0.671,             0.76842,             0.57196,            0.025788,            0.050838,            0.010653,            0.000496,            0.000496,            0.000496
